battery,num,idx,cap,v_mean,v_max,v_min,i_mean,i_max,t_mean,t_max,t_min,dur,pts
B0018,1,1,0.780133625138889,4.1923731076313056,4.202872264991999,3.4476511473865226,0.36229573343117905,4.034444944556543,24.42229248876264,26.713023146449622,23.735721220396467,8122.844,2816
B0018,2,5,1.861968180972222,4.1353123326190016,4.2018954565543405,2.9685854954975253,0.6706813354171002,3.326249394558189,25.545536174167466,28.630657651876884,23.899325521863094,10804.766,3777
B0018,3,9,1.859575619027777,4.13250763071698,4.201918359663014,3.0007459097531988,0.6690929502421815,3.376134513513652,25.446466159720142,28.510311181520592,23.88379885286109,10806.391000000003,3693
B0018,4,13,1.850732893611111,4.133445731492554,4.20209280278357,3.0220629037841675,0.6642473873590563,3.4126693627826135,24.873840724794903,27.94743032564124,23.33896414519938,10805.953,3604
B0018,5,17,1.8397487543055555,4.1374064082813184,4.202264581050834,3.081310778261303,0.658439108403403,3.494189677345426,25.184745587136256,28.182349581908053,23.232712268368484,10806.594,3525
B0018,6,19,1.8465722693055555,4.126282741083326,4.201938151381219,2.8920212868007713,0.6576326616163736,3.1900654194476274,26.83090280704791,36.186651345077465,24.6987679383063,10804.844,3495
B0018,7,21,1.8397710734722226,4.125914878070091,4.202031413758956,2.8889259226774757,0.6575219104442969,3.1959371431389942,26.612686159872126,36.13935430758997,24.3116230964189,10806.235,3413
B0018,8,23,1.8274164433333333,4.12773554662663,4.202110790305647,2.934228742554025,0.6512680866556142,3.2577406267266666,26.181469651247287,35.46420583269735,23.931331686881695,10807.531,3359
B0018,9,25,1.8211282456944446,4.128434329208657,4.202314658583246,2.933503829884343,0.6487373073209779,3.2517094613293422,25.91755929599645,35.219777661310665,23.722031244542706,10807.063,3294
B0018,10,29,1.8153621526388888,4.141068906540286,4.20201657959594,3.154394449334329,0.6468448733660457,3.6103236695156684,24.489490921475447,27.55080800546333,22.786308670649184,10805.891,3220
B0018,11,31,1.8348227313888892,4.127449273791294,4.201840621952644,2.919401031183828,0.6519394522226023,3.2231431209359425,26.146821020863474,35.44332890427652,24.13116926475526,10806.031,3189
B0018,12,33,1.8237552916666666,4.127805560491026,4.202606356465971,2.935169525749225,0.6551580022344945,3.253803882663408,26.252986903576208,35.51794239177923,24.007947187086522,10642.983999999997,3102
B0018,13,35,1.8109810712500003,4.129295381175681,4.202230505968771,2.9623564102346562,0.6453445668660481,3.2977483371204106,25.853699304554265,35.081542638352914,23.550848033312768,10771.188,3088
B0018,14,37,1.7990927184722223,4.131571550845158,4.202035375774965,2.992034431213861,0.6377505115763566,3.34147442757836,25.419542407670075,34.460585087793035,23.211901244124853,10794.406,3050
B0018,15,41,1.792898839722222,4.141471254743751,4.202278101475768,3.170863201975345,0.6348269305570264,3.6114842114091554,24.304660185191814,27.33771267675062,22.934246915363556,10808.672,2996
B0018,16,43,1.7915311641666667,4.131913945158341,4.202071863838541,2.991394578819033,0.6349966880172653,3.3254470127618836,25.891404452355065,34.69043264785862,23.99900515407803,10788.828,2954
B0018,17,45,1.7858883625,4.131707612044202,4.20206920947581,3.000667324114639,0.6385755574098104,3.3326871676553105,26.338798726333607,35.105681007040275,24.226715621279403,10689.594,2887
B0018,18,47,1.7744792315277773,4.133021975382763,4.202872821213387,3.01251531260669,0.631484309106956,3.3609357256565073,26.07003491744081,35.05533549707359,23.79279483011453,10670.672000000006,2868
B0018,19,49,1.7613126106944441,4.1343818763972555,4.201899958978779,3.046738513507221,0.6307178601101081,3.417324167012539,25.562018261524052,34.25023256471148,23.27283453712357,10656.266,2814
B0018,20,53,1.7564975940277774,4.142878003359763,4.202011186724678,3.208933728707651,0.6201110950198941,3.664647871289196,24.239098701090988,27.30484922551561,22.750096844921444,10808.235,2808
B0018,21,55,1.752802406388889,4.137110549992526,4.202046016992615,3.0369083632672687,0.6166280006666143,3.3989753526176085,24.743544206187746,33.74508513415117,22.56943284702641,10806.719,2778
B0018,22,57,1.7291830194444442,4.131459570839378,4.202601924739715,3.0617732562417372,0.6758160757552744,3.4341819517579415,24.96960156651026,33.43044436107721,22.71564213139357,9702.0,2468
B0018,23,59,1.7311771406944443,4.1385090792143435,4.201832985640351,3.0752576679585832,0.6082713701210324,3.456076236102611,24.775220976126924,33.17568639783767,22.656467939486785,10806.313,2715
B0018,24,61,1.7242645908333332,4.139720048721875,4.2021779631347185,3.0864152941941394,0.6084448002348715,3.466023434782026,24.743273709867076,33.257530217998394,22.60067571668588,10767.172000000006,2675
B0018,25,65,1.7153557000000001,4.15094447494119,4.202782981789953,3.283270022030334,0.5990027853325007,3.8027164219694853,23.451833761379476,26.463639728406417,21.95992135471302,10806.14,2658
B0018,26,67,1.7598671063888887,4.135460690208974,4.202686300075377,3.0446180357697537,0.6272415927444686,3.3922249588412887,25.23866382689419,33.774954623752556,23.382807950105715,10645.781,2589
B0018,27,69,1.7469796966666664,4.135270884841989,4.202559878916513,3.0530800860238743,0.6269209649861759,3.4068630357438208,25.942576564414136,34.42643355981792,23.954968192404873,10554.906,2540
B0018,28,71,1.7325218638888886,4.1367202778051375,4.202406016545651,3.0878376675098855,0.6251450760237723,3.4585205777910204,26.097017175204584,34.35860472854562,23.958093785139358,10479.375,2499
B0018,29,73,1.7219193655555554,4.138109112061955,4.202669833243475,3.099810529931678,0.6196413424201113,3.476664400513548,25.923942041376847,34.2024080930246,23.760905233797914,10522.063,2478
B0018,30,77,1.7159110075,4.146301095640153,4.20232082917396,3.2469993826522137,0.6040305424041356,3.7107399641053087,24.89634801754428,27.962964696959556,23.46281705512929,10764.344,2502
B0018,31,79,1.7043022248611113,4.1402542614329185,4.2022760738659315,3.117448888611463,0.6113173210018646,3.504758304498899,25.529668879010824,33.690112246938114,23.46436853236798,10556.078,2431
B0018,32,81,1.6929666924999998,4.1416722429572115,4.202265282124915,3.1311077416456694,0.6052684732019442,3.5111521906195162,25.707749149739985,33.65112802729902,23.728718233928667,10546.687,2417
B0018,33,83,1.684416951388889,4.140980605428134,4.20202711310134,3.1282011949858446,0.6066293608961182,3.5085205704036566,26.05899080017432,34.065730915484814,24.007121822094444,10477.203,2374
B0018,34,85,1.6768674222222224,4.141769513617304,4.202272193519664,3.137168133817904,0.603458060812856,3.529018731618291,26.018613481994876,34.043826750742646,23.828639907329546,10498.592999999993,2361
B0018,35,89,1.6720128055555556,4.1507218579886604,4.202977554282689,3.2864399855365596,0.5883330682406325,3.768692327538457,24.92442022306288,28.007672950138677,23.458654955901867,10717.0,2375
B0018,36,91,1.6656796204166666,4.144684414441371,4.2026405731594165,3.1465855130636466,0.5930742027983676,3.546790523849352,25.472278015626834,33.6468535523426,23.292207597442506,10584.766,2324
B0018,37,93,1.6535229844444443,4.144836557616457,4.202742856853121,3.1473587405483796,0.5913611518696849,3.5445606912027214,25.361434715128922,33.54043034547115,23.24882790500533,10525.641,2293
B0018,38,95,1.6420643276388887,4.1469277343393625,4.2021695480544015,3.177936797919733,0.5827036769814937,3.579600367893411,25.44207618553034,33.06778657550314,23.46785197882658,10644.125,2289
B0018,39,97,1.63709997875,4.145795316611404,4.203074123957366,3.1642683536317118,0.5888853751681691,3.558369550896654,25.831018575864743,33.705774688469276,23.752571668438627,10452.516,2240
B0018,40,101,1.6347704972222221,4.156904682985364,4.202093467622683,3.3259276713449832,0.5658173293761547,3.8503963651032453,23.918488508769663,26.955933357562675,22.42583611407153,10810.453,2296
B0018,41,103,1.689719953888889,4.140226819419846,4.202657839852154,3.084356175292055,0.6063311590818347,3.4494205303039718,25.50617247150571,34.02194588179759,23.37838519072832,10481.562,2212
B0018,42,105,1.6665617879166665,4.143482681464776,4.202129035892022,3.139417089797943,0.6027055332829592,3.5432384844038793,25.35253952946816,33.35597362804456,23.14589600809117,10423.218999999997,2179
B0018,43,107,1.6495097290277778,4.145264748790388,4.202616376614602,3.141019742020337,0.5917411623864999,3.5522376465849317,25.10028019162854,33.32080982918044,22.879000082083948,10475.094,2173
B0018,44,109,1.6392015966666664,4.147656115968421,4.202894234508199,3.1522813600839314,0.5815892807051805,3.5649861119634103,24.870900772580274,33.04861913599422,22.668932084410475,10589.359,2178
B0018,45,113,1.6210064430555555,4.156208672803882,4.202748231427938,3.309558367087685,0.564417184774355,3.7994548262761327,23.95456335101015,27.096149354299882,22.532092723452386,10781.75,2194
B0018,46,115,1.4744830693055555,,,,,,,,,4791.375,993
B0018,47,118,1.7454299388888885,4.127903510848874,4.2029195082692,2.9112028773941705,0.6472858892938459,3.202262860695824,25.5157207896412,33.757969974021854,23.407393808843313,10184.938,2312
B0018,48,120,1.727324661111111,4.131161782328852,4.203139846413382,2.9743184260591353,0.6384941655681154,3.3006506392494632,25.40320261606661,33.625519091278925,23.274358602471064,10230.265,2297
B0018,49,122,1.7054327766666666,4.134628310174825,4.203749475441674,3.0289195177136716,0.629444998390105,3.38063453683454,25.318880573273052,33.505246143795205,23.189462106522175,10213.875,2272
B0018,50,124,1.6866400320833332,4.137341499467205,4.202830115761399,3.059349843868466,0.6151904561793502,3.4215870166257587,25.191562555105925,33.452138115876444,23.160775379077716,10311.718,2278
B0018,51,127,1.6723663584722221,4.14775250632472,4.202965990964641,3.2533149080208177,0.6078611726782388,3.7322743713518856,24.747111933662097,28.185142005058786,23.228926324023135,10348.609,2254
B0018,52,129,1.678517475138889,4.138484496797234,4.202854561659717,3.085873016759977,0.6128451041999987,3.458234902434346,25.88385482750118,33.918176877050485,23.74721036797923,10321.062,2231
B0018,53,131,1.6563885738888886,4.133097611804833,4.20257603975531,3.0855478178334477,0.6767787519704034,3.470591673949992,25.930672938405944,34.02461783742734,23.567708710518104,9193.328,1974
B0018,54,133,1.6396672677777775,4.136354941018954,4.20220407911023,3.127784747719783,0.6699655956354268,3.519920481261985,25.664791638383633,33.243843128574326,23.31978207284979,9182.5,1959
B0018,55,135,1.6383346262499998,4.144066243443556,4.202711819371193,3.117243929319058,0.5937722603996399,3.505595601485566,25.283565840567434,33.44305057974552,23.143983714984675,10354.437,2195
B0018,56,138,1.6225499247222221,4.155803748039213,4.202694699335275,3.310232625593158,0.5692932404726069,3.813224064272225,24.284812232615863,27.72567274997729,22.904103648960977,10520.016,2179
B0018,57,142,1.6772267280555553,4.138413596843693,4.20266470401767,3.0620726700657723,0.6197339853193672,3.4204960917439764,25.6746395923991,33.74743127597816,23.526722488943047,10140.906,2095
B0018,58,144,1.6489852119444444,4.1407877792139,4.203043725427581,3.095946797426005,0.6092380252751773,3.4802354646382616,25.705201487299274,33.764652265151554,23.49935763970337,10145.0,2082
B0018,59,146,1.6264151862499998,4.1428149765501745,4.202958302431799,3.1087396872870987,0.5922834097192224,3.497315833213884,25.584315806002166,33.75519710318919,23.386588929872484,10279.453,2096
B0018,60,148,1.6157695837499997,4.145244704941419,4.202875007553949,3.1241605690632133,0.586185935434614,3.518287317913336,25.501256299429965,33.5686793913933,23.29307731251802,10325.594,2085
B0018,61,152,1.60086247125,4.155206957498753,4.202518392664299,3.302798463779262,0.5633529262720449,3.794915161339253,24.494524405493824,28.044440770982522,23.078459824514745,10650.234,2131
B0018,62,154,1.5934924147222223,4.148409925319618,4.202568175672952,3.150893801599478,0.5758061542052267,3.5534488567829263,25.3635549759085,33.212369507074,23.24017843390462,10332.937,2061
B0018,63,156,1.581990663611111,4.148873404037818,4.202624450973894,3.1470765780569647,0.5696549227246023,3.5461625998872806,25.4527637681023,33.50356450770822,23.282118062630712,10377.406,2057
B0018,64,158,1.5676299568055556,4.149853428623329,4.203141234641119,3.166512576633262,0.5668551974976271,3.577567186154941,25.391621024053098,33.228885984233415,23.207959690265604,10348.781000000003,2034
B0018,65,160,1.5609251766666665,4.151070567445724,4.2028605868375335,3.165340481652366,0.5605504591425561,3.5776697673721505,25.343311446661343,33.315055401144605,23.149985508489603,10396.875,2028
B0018,66,164,1.5551201233333334,4.160273572381521,4.2029202734968285,3.3225554783696905,0.5374639582547157,3.8153493905848683,24.46304825674001,28.065079096779943,22.978438489468346,10796.922,2090
B0018,67,166,1.55207258625,4.15206612121653,4.202717145969419,3.1647781328875033,0.5612485726526918,3.5757248902225864,25.113825678212983,33.345546963646505,22.835992954917465,10328.156,1983
B0018,68,168,1.5313300355555557,4.153426516739129,4.202230202462968,3.183265533659721,0.5440785701670202,3.6014884506300264,25.01841375065976,33.029814104311995,22.8475089176094,10485.125,2003
B0018,69,170,1.5298659677777777,4.153321611662977,4.203173880925448,3.1791602068688216,0.5563406304572028,3.596319247083891,25.083400556730766,33.03376732958465,22.840819700713727,10265.563,1945
B0018,70,172,1.5233763918055554,4.1543131912199,4.203378551338715,3.1791792156011787,0.5490520054138729,3.5932804494349058,25.063963924614146,33.20818485101739,22.809108907257578,10387.077999999994,1939
B0018,71,176,1.513897220694444,4.164986318025767,4.204052050450068,3.3326771830478013,0.5285974924234544,3.8578735683871583,24.012888073721715,27.392765467825583,22.407735598107635,10678.531,1998
B0018,72,178,1.5606499144444443,4.151906174644009,4.203103651800376,3.1449283444986724,0.5601301753505701,3.5314683561386455,25.547225374528853,33.77922775093614,23.297032641456838,10383.266,1939
B0018,73,180,1.530876682361111,4.152033699480291,4.203208116707701,3.1655438410213557,0.5506108406303722,3.5763495338026696,25.573544371551275,33.74157842610773,23.33877007342914,10374.842999999993,1925
B0018,74,182,1.5274165637499997,4.1537393739155535,4.20228120560863,3.1676664124058926,0.5468591988966502,3.572443577923696,25.48016572856392,33.60485853099364,23.246287911949555,10405.703,1913
B0018,75,184,1.5158939941666667,4.155095880424382,4.2029191401455,3.179891954236092,0.5459729645793945,3.6002842522833878,25.42239082688843,33.54245670906144,23.134473569509403,10340.515,1891
B0018,76,187,1.5043657745833332,4.1639946906482415,4.202818753024203,3.3291423159308855,0.5228939217289913,3.824584704284191,24.406211878601937,27.907538462518954,22.965443415578452,10715.234,1946
B0018,77,189,1.501546499166667,4.15586544434178,4.203694836682205,3.182897165800991,0.5372383498823035,3.5871660355638757,25.261305257060375,33.496253713087526,23.08424865330436,10396.641,1878
B0018,78,191,1.4932522997222224,4.157340471847523,4.202703303959949,3.195933755916512,0.5332626233538317,3.608196410697763,25.442110123070492,33.40840537983315,23.32883700393968,10412.625,1868
B0018,79,193,1.4872079152777777,4.156639963470775,4.202371235103818,3.1808828759301218,0.5325624309668737,3.590006273756836,25.475101660981416,33.89025119073222,23.20632376618741,10393.5,1855
B0018,80,195,1.4787568144444443,4.1575014571052815,4.203206788665526,3.188408952508814,0.5277542912039049,3.6092514625801555,25.307439939152406,33.67181151242727,23.04845811106917,10401.437,1844
B0018,81,199,1.4745291927777775,4.167061565258114,4.203846224766009,3.330725008639057,0.5063517290839918,3.8267582961531246,24.228766655243138,27.841937781961864,22.71420728999337,10810.0,1908
B0018,82,201,1.4696443890277775,4.158766825845978,4.203134188181427,3.193289128864028,0.5243093424611026,3.6115199004130396,24.963204935100002,33.364263464126466,22.772347904769486,10428.437,1833
B0018,83,203,1.4613160881944443,4.159694445762706,4.202603243160275,3.203524499925966,0.5213161860345378,3.635405518453947,25.16228062347318,33.28018802891137,23.027131098472577,10419.094,1815
B0018,84,205,1.45498724875,4.159541006244862,4.203115915060355,3.204504077613363,0.5223345088469911,3.633138654442405,25.473037712821245,33.54622835649592,23.278807381904805,10352.953,1796
B0018,85,207,1.4510416784722222,4.159606167273364,4.2026495322294055,3.200904668646634,0.5239587163499169,3.628238174046095,25.473217443634713,33.71876019570778,23.191026793342143,10296.766,1776
B0018,86,211,1.432844578611111,4.1708279128535635,4.202812507013382,3.333908101104736,0.5166791512782289,3.8650101474619176,24.10483300906097,27.32803519924954,22.540682425728644,10289.437,1762
B0018,87,213,1.4997796833333332,4.156182084734813,4.203121346196286,3.154978443626896,0.5374710075552503,3.560431495545415,25.452975839922793,33.83835108253136,23.22336387089782,10371.906,1771
B0018,88,215,1.4769722086111112,4.156874560190854,4.20322353008349,3.1638644830777243,0.5367100247839943,3.5760385691476957,25.338235649853683,33.89542839693603,22.97880164689334,10237.156000000003,1735
B0018,89,217,1.4593177769444443,4.15872128163076,4.2029308737102555,3.184112183718743,0.5235964096589769,3.61234134501153,25.051202036186005,33.45795823700358,22.747292346045064,10366.422,1750
B0018,90,219,1.4483952941666667,4.158825287656152,4.203192770006549,3.180685711270606,0.5173988590101501,3.6063568756853694,24.857491491420344,33.483938310649464,22.5461741606436,10387.703,1748
B0018,91,222,1.4338586434722222,4.172421381214697,4.203657566485503,3.331270367633027,0.4918000776053893,3.8380439403065476,24.14870072035666,27.37853814906628,22.561173002365656,10808.578,1804
B0018,92,224,1.4699054440277777,4.157817974541077,4.202851879740705,3.1684207940704123,0.5258692132050904,3.583972565372209,25.453269592318446,34.022517442059645,23.25971168063639,10353.906,1720
B0018,93,226,1.4544805869444446,4.158597231211127,4.203036522259961,3.1779730198063016,0.523653714454174,3.595672667640784,25.57251082982669,33.85819366593843,23.38566189263743,10326.266,1709
B0018,94,228,1.4483040798611109,4.159896562008179,4.202699143699648,3.182893386164084,0.5204877628597245,3.6057009484624816,25.65567263165318,33.96042454054935,23.407905451676342,10329.797,1699
B0018,95,230,1.437530627361111,4.1608536964621665,4.202132510889835,3.185888323028725,0.5082170963191034,3.6099213769677596,25.542185816511246,33.969053050544986,23.303882173077774,10225.578,1647
B0018,96,234,1.4315608301388887,4.168853506012904,4.203800521423536,3.3292595706536177,0.5030390158489982,3.819453299600238,24.65390943265731,28.14892462736424,23.14321633280852,10555.171,1718
B0018,97,236,1.43290413375,4.161749886105167,4.202486057204443,3.1825968886440275,0.5021577783556427,3.591113925276393,25.392539559644987,34.023234828513274,23.17628386098324,10318.984,1645
B0018,98,238,1.421277279861111,4.161033104783028,4.203445628839536,3.190847485258167,0.513936255645595,3.6060623804885976,25.446963800887378,33.87472098316312,23.190799072953087,10242.609,1652
B0018,99,240,1.4125835129166666,4.161515653822334,4.202891384704809,3.2060879874358847,0.516030689939569,3.6291452874022956,25.550044778754145,33.628019118131256,23.310220494004,10148.125,1625
B0018,100,242,1.4090872338888887,4.162609777349233,4.203095752943368,3.2072600886498277,0.5059805839562793,3.637912819290177,25.560938902561947,33.69818797179976,23.372512851069086,10333.687,1649
B0018,101,246,1.4014650091666665,4.170174003547436,4.20206279696643,3.3303620216109935,0.49426172377002403,3.8208384484922937,24.66855691720926,28.153870845632895,23.142658354013825,10501.25,1669
B0018,102,248,1.3999268768055555,4.162381635047658,4.20267699398556,3.2078646709649923,0.5025053779531566,3.6309691484460576,25.378329503723524,33.56071799477596,23.169045853207926,10317.235,1636
B0018,103,250,1.400507244722222,4.162750747178852,4.203826360237285,3.1975827131925616,0.5086312363138156,3.6147315013489987,25.490176768563206,33.73187121626518,23.257314560096336,10206.859,1607
B0018,104,252,1.393120496388889,4.164253939009342,4.203161411020839,3.207313652510434,0.4913133436589995,3.631913403809718,25.519272260346444,33.750738523169446,23.307372435397156,10173.703,1492
B0018,105,254,1.3852222925000002,4.162950595982994,4.2027125732168695,3.210259960268952,0.5091742336148688,3.6455373738952264,25.65782286764763,33.78172962289607,23.408915683754024,10078.407000000007,1575
B0018,106,258,1.3806812524999998,4.173684466340272,4.202970107730749,3.332481557759816,0.4802396291493718,3.874364185211413,23.343285627002313,26.510166321530292,21.810169604006642,10653.719,1651
B0018,107,260,1.4853573187500002,4.156451549681618,4.203744225498938,3.1415816755392143,0.5281195037393535,3.5275473531125288,24.967082308519945,33.26311506460614,22.973849364139035,10418.265,1616
B0018,108,262,1.4687246794444446,4.155486169449989,4.202335936360702,3.145229166421281,0.539976570567083,3.5446829679100693,25.573348127075526,33.62887168983149,23.425417256290128,10094.985,1557
B0018,109,264,1.4595523934722223,4.1568851217769796,4.20330985503628,3.1574167419561268,0.5354684029560242,3.5582225653772324,25.545704002011487,33.71904176342745,23.235418756938472,10110.108999999997,1553
B0018,110,266,1.4459887562500002,4.15753550770743,4.203179984201726,3.165833264534804,0.5306965612972482,3.575442597430164,25.35196919383656,33.54065773317013,23.018582209069123,10105.172,1545
B0018,111,269,1.4345222248611111,4.167562376512157,4.202562976491467,3.3228211495310784,0.5079868972987502,3.816270726939115,24.306296956106422,27.797561801513456,22.7838023365637,10466.765,1590
B0018,112,271,1.4302375301388888,4.159079563061728,4.204210716962248,3.1767953624021548,0.5195698990426458,3.5802733736761847,25.04791563153191,33.24550252433356,22.882091830758426,10183.125,1544
B0018,113,273,1.4233826779166667,4.159784786829386,4.202376618036477,3.1865279423288704,0.5256350285039962,3.602019350986794,25.39894282334293,33.25183568543322,23.29134441356417,10023.328,1514
B0018,114,275,1.421171009722222,4.159248824758058,4.202638726430576,3.1734992170073526,0.527407741677896,3.573674737571567,25.887841606934128,33.985445246183865,23.768209571698076,9974.5,1504
B0018,115,277,1.4181936561111113,4.159959586593152,4.202951503258163,3.1757345650870934,0.522017254100725,3.569944785978592,26.10841222140624,34.35620577687582,23.789688905782523,10062.969,1511
B0018,116,281,1.4065483804166665,4.170312939267002,4.203237378174695,3.3305353666696114,0.4820566548801477,3.8039741409021475,24.72407785161255,28.353524179601084,23.13063075412517,10809.453,1613
B0018,117,283,1.410486412638889,4.162441369380301,4.203131632988233,3.1756332437306507,0.49656978376735506,3.5726125929378547,25.23968918098469,33.9430389450899,22.903564547004798,10501.516,1561
B0018,118,285,1.3958284468055555,4.163440302309122,4.2034430204969295,3.1926273733035355,0.4935240292304281,3.6148848366792565,24.983659236998836,33.446010491152634,22.697587675821588,10463.781,1550
